Date,Location,Artist,Venue,Lineup,Gear Notes,Link
2024-07-17,"Schorndorf, DE",Waxahatchee,Club Manufaktur,"Waxahatchee, Anna St Louis",
2024-07-18,"Feldkirch, AT",Waxahatchee,Poolbar Festival,Poolbar Festival,
2024-07-19,"Sittersdorf, AT",Waxahatchee,Acoustic Lakeside Festival,Acoustic Lakeside Festival,
2024-07-21,"Zurich, CH",Waxahatchee,Bogen F,"Waxahatchee, Anna St Louis",
2024-07-22,"Paris, FR",Waxahatchee,La Maroquinerie,"Waxahatchee, Anna St Louis",
2024-07-24,"Brighton, UK",Waxahatchee,Chalk,"Waxahatchee, Anna St Louis",
2024-07-25,"London, UK",Waxahatchee,O2 Forum Kentish Town,"Waxahatchee, Anna St Louis",
2024-07-26,"Southwold, UK",Waxahatchee,Latitude Festival,Latitude Festival,
2024-07-27,"Manchester, UK",Waxahatchee,New Century,"Waxahatchee, Anna St Louis",
2024-07-29,"Leeds, UK",Waxahatchee,Leeds Irish Centre,"Waxahatchee, Anna St Louis",
2024-07-30,"Glasgow, UK",Waxahatchee,Queen Margaret Union,"Waxahatchee, Anna St Louis",
2024-07-31,"Belfast, UK",Waxahatchee,Belfast Empire Music Hall,"Waxahatchee, Anna St Louis",
2024-08-01,"Dublin, IE",Waxahatchee,Vicar Street,"Waxahatchee, Anna St Louis",
2024-08-03,"Albany, WI",Finom,Post Farm,Postock,
2024-08-03,"Albany, WI",Charlotte Cornfield,Post Farm,Postock,
2024-08-03,"Albany, WI",Aux Thom,Post Farm,Postock,
2024-08-04,"Albany, WI",Sima Cunningham,Post Farm,Postock,
2024-08-04,"Albany, WI",Al Scorch,Post Farm,Postock,
2024-08-14,"Los Angeles, CA",Waxahatchee,Jimmy Kimmel Live,,
2024-08-16,"Vancouver, BC",Waxahatchee,Orpheum Theatre,"Waxahatchee, Woods",
2024-08-17,"Portland, OR",Waxahatchee,Pioneer Courthouse Square,"Waxahatchee, Woods, Toody Cole",
2024-08-18,"Seattle, WA",Waxahatchee,Woodland Park Zoo Amphitheater,"Waxahatchee, Woods",
2024-08-19,"Boise, ID",Waxahatchee,Treefort Music Hall,"Waxahatchee, Tre Burt",
2024-08-21,"Fort Collins, CO",Waxahatchee,Washington's,"Waxahatchee, Tre Burt",
2024-08-23,"St Louis, MO",Waxahatchee,The Pageant,"Waxahatchee, Tre Burt",
2024-08-24,"Madison, WI",Waxahatchee,The Sylvee,"Waxahatchee, Tre Burt",
2024-08-25,"Kalamazoo, MI",Waxahatchee,Bell's Beer Garden,"Waxahatchee, Tre Burt",
2024-08-26,"Pittsburgh, PA",Waxahatchee,The Warhol at Carnegie Music Hall,"Waxahatchee, Tre Burt",
2024-08-28,"New York, NY",Waxahatchee,Beacon Theatre,"Waxahatchee, Woods",
2024-08-29,"South Deerfield, MA",Waxahatchee,Tree House Summer Stage,"Waxahatchee, Snail Mail, Tim Heidecker",
2024-08-30,"Portland, ME",Waxahatchee,State Theater,"Waxahatchee, Snail Mail, Tim Heidecker",
2024-08-31,"Accord, NY",Waxahatchee,Arrowood Farms,"Waxahatchee, Snail Mail, Tim Heidecker",
2024-09-01,"Asbury Park, NJ",Waxahatchee,Stone Pony Summerstage,"Waxahatchee, Snail Mail, Tim Heidecker",
2024-09-04,"Charlotesville, VA",Waxahatchee,Ting Pavilion,"Waxahatchee, Snail Mail, Tim Heidecker",
2024-09-05,"Raleigh, NC",Waxahatchee,Hopscotch Music Festival,Hopscotch Music Festival,
2024-09-06,"Vienna, VA",Waxahatchee,Filene Center at Wolf Trap,"Waxahatchee, Snail Mail, Tim Heidecker",
2024-09-07,"Philadelphia, PA",Waxahatchee,The Fillmore,"Waxahatchee, Snail Mail, Gladie",
2024-09-08,"Philadelphia, PA",Waxahatchee,The Fillmore,"Waxahatchee, Tim Heidecker",
2024-09-10,"New York, NY",Waxahatchee,CBS This Morning,,
2024-09-13,"Chicago, IL",Lucky Cloud,Gman Tavern,"Lake James, Lucky Cloud",
2024-09-19,"Nashville, TN",Waxahatchee,Americana Fest (ANTI- Showcase),"Neko Case, Waxahatchee, Madi Diaz, MJ Lenderman, Christian Lee Hutson, Leyla McCalla",
2024-09-19,"Nashville, TN",MJ Lenderman,Americana Fest (ANTI- Showcase),"Neko Case, Waxahatchee, Madi Diaz, MJ Lenderman, Christian Lee Hutson, Leyla McCalla",
2024-09-21,"Chicago, IL",Waxahatchee,Riot Fest,Riot Fest,
2024-10-04,"Chicago, IL",Case Oats,Apricot Vintage,"Lucky Cloud, Case Oats (duo)",
2024-10-10,"Chicago, IL",Liam Kazar,Judson & Moore Distillery,Liam Kazar,
2024-10-12,"Chicago, IL",Spencer and Sammy Tweedy,Emanuel Congregation,Yom Kippur services!,
2024-10-13,"Union Pier, MI",Vinyl DJ set,Out There,DJ Case Oats and Spencer Tweedy,
2024-10-17,"Chicago, IL",Henry True,Color Club,"Katie Malco, Henry True",
2024-10-21,"REDACTED",Waxahatchee,REDACTED
2024-10-22,"Philadelphia, PA",Waxahatchee,Ardmore Music Hall,"Philly Music Fest"
2024-10-24,"Chicago, IL",Cosmic Country Showcase,Color Club
2024-10-25,"Chicago, IL",Cosmic Country Showcase,Color Club
2024-10-26,"Chicago, IL",Cosmic Country Showcase,Color Club
2024-10-24,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club
2024-10-30,"Chicago, IL",Lucky Cloud,Gman Tavern,"Lucky Cloud, Zach Morp"
2024-10-31,"Chicago, IL",Case Oats,Hungry Brain,"Case Oats, Liam Kazar, TV Buddha, DJ Scary Stevens"
2024-11-02,"Chicago, IL",Finom,Metro,"Finom, Cabeza De Chivo"
2024-11-06,"Detroit, MI",Finom,Lager House,"Finom, Meg Elsier"
2024-11-07,"Toronto, Canada",Finom,Baby G,"Finom, Meg Elsier, Beams"
2024-11-08,"Montreal, Canada",Finom,Cabaret Foufs,"Finom, Meg Elsier"
2024-11-09,"Burlington, VT",Finom,Radio Bean,"Finom, Meg Elsier"
2024-11-11,"Boston, MA",Finom,The Rockwell,"Finom, Meg Elsier"
2024-11-13,"Philadelphia, PA",Finom,Johnny Brenda's,"Finom, Meg Elsier"
2024-11-14,"Brooklyn, NY",Finom,Baby's All Right,"Finom, Meg Elsier, Work Wife"
2024-11-15,"Pittsburgh, PA",Finom,Club Cafe,"Finom, Meg Elsier"
2024-11-23,"Chicago, IL",Jeff Tweedy,Letters to Santa,"Letters to Santa 2024"
2024-11-29,"Perth, Australia",Waxahatchee,Astor Theatre,"","",https://link.seated.com/f7518b23-9528-4783-8c1a-21b1c82cb62d
2024-12-01,"Brisbane City, Australia",Waxahatchee,The Tivoli,"","",https://link.seated.com/ffe948c9-cdf6-4705-87e1-427fe00ac6c5
2024-12-02,"Sydney, Australia",Waxahatchee,Sydney Opera House,"","",https://link.seated.com/f01e0940-287e-4b32-a4c8-d45a5ef3f487
2024-12-04,"Melbourne, Australia",Waxahatchee,Corner Hotel,"Waxahatchee, Good Morning","",https://link.seated.com/4352686e-52c1-4303-9599-c6f6f05439e6
2024-12-05,"Melbourne, Australia",Waxahatchee,The Forum,"","",https://link.seated.com/aa021de0-fbf7-4a68-84f8-ec408f342f81
2024-12-06,"Meredith, Australia",Waxahatchee,Meredith Music Festival,"Meredith Music Festival","",https://link.seated.com/54c0d600-fcb3-4373-99d7-d9d982e74357
2024-12-08,"Hobart, Australia",Waxahatchee,Odeon Theatre,"","",https://link.seated.com/dae57c0c-31d8-4ede-859d-e7f00a8c5f27
2024-12-13,"Chicago, IL",Sima Cunningham,Constellation,"Sima Cunningham, Max Subar","",https://www.seetickets.us/event/sima-cunningham-high-roller-album-release-wmax-subar/618581
2024-12-14,"Chicago, IL",Liam Kazar,Thalia Hall,"Neal Francis, Liam Kazar","",https://www.ticketweb.com/event/sold-out-neal-francis-with-thalia-hall-tickets/13821523
2025-01-04,"Los Angeles, CA","Sweet Sixteen with Katie Crutchfield, D'Arcy Carden and Allison Crutchfield","Largo at the Coronet","Katie Crutchfield, D'Arcy Carden, Allison Crutchfield, and guests","",https://wl.seetickets.us/event/sweet-sixteen-with-katie-crutchfield-darcy-carden/631250?afflky=LargoAtTheCoronet
2025-02-08,"Chicago, IL",Liam Kazar,Fitzgeralds,"Liam Kazar","",https://www.fitzgeraldsnightclub.com/tm-event/liam-kazar-returns-to-fitzgeralds-nightclub/
2025-02-21,"Chicago, IL",Sima Cunningham,Robert's Westside,"Sima Cunningham, VV Lightbody and Minor Moon duo","",https://robertswestside.com/listing/sima-cunninghams-residency-roberts-westside/
2025-02-24,"New York, NY",Waxahatchee,The Tonight Show Starring Jimmy Fallon,"The Tonight Show","",""
2025-03-05,"At sea",Jeff Tweedy,Cayamo Cruise,"Cayamo Cruise","",https://www.cayamo.com/
2025-03-11,"Austin, TX",Case Oats,Antone's,"High Road Touring Showcase","",https://www.highroadtouring.com/high-road-2025-sxsw-showcase-tuesday-march-11th-at-antones/
2025-03-12,"Austin, TX",Liam Kazar,The Long Time,"Kevin Morby and his Sandlot All-Stars","",https://www.eventbrite.com/e/kevin-morby-and-his-sandlot-all-stars-tickets-1205496044119
2025-03-12,"Austin TX",Kevin Morby,The Long Time,"Kevin Morby and his Sandlot All-Stars","",https://www.eventbrite.com/e/kevin-morby-and-his-sandlot-all-stars-tickets-1205496044119
2025-03-13,"Austin, TX",Case Oats,YETI Flagship Store,"YETI Music Showcase","",https://www.bmi.com/events/entry/591886
2025-03-13,"Spicewood, TX",Waxahatchee,Luck Reunion,"Waxahatchee, Lucinda Williams, and special guests","",https://link.seated.com/71628ce0-a50f-4b31-be7b-954bdc613e95
2025-03-14,"Austin, TX",Case Oats,Hotel San José,"South By San José","",https://www.bunkhousehotels.com/hotel-san-jose/events/south-by-san-jose
2025-03-14,"Spicewood, TX",Waxahatchee,Luck Reunion,"Waxahatchee, Lucinda Williams, and special guests","",https://link.seated.com/71628ce0-a50f-4b31-be7b-954bdc613e95
2025-03-15,"Austin, TX",Case Oats,The Swan Dive,"Line of Best Fit Showcase","",https://www.thelineofbestfit.com/news/best-fit-sxsw-2025-showcase-lineup-yhwh-nailgun-jasmine-4-t-man-woman-chainsaw
2025-03-21,"Chicago, IL",Sima Cunningham,Robert's Westside,"Sima Cunningham, Judson Claiborne","",https://robertswestside.com/listing/sima-cunninghams-residency-roberts-westside/
2025-04-05,"Chicago, IL",Lucky Cloud,Schubas,"Lucky Cloud, Lake J, Shoulderbird","",https://lh-st.com/shows/04-05-2025-lucky-cloud/
2025-04-06,"Milwaukee, WI",Lucky Cloud,Cactus Club,"Nona Invie, Lucky Cloud, Ellie Jackson","",https://www.cactusclubmilwaukee.com/events/41665/
2025-04-12,"Charleston, WV",Jeff Tweedy,Culture Center Theater,"WV Hall of Fame Induction","",https://www.wvmusichalloffame.com/10thCeremony.html
2025-04-13,"Charleston, WV",Jeff Tweedy,Mountain Stage,"Mountain Stage","",https://www.eventbrite.com/e/jeff-tweedy-johnnyswim-olivia-ellen-lloyd-and-more-on-mountain-stage-tickets-1200252410269?aff=Tweedy
2025-04-26,"Tallahassee, FL",Waxahatchee,The Adderley Amphitheater,"Wilco, Waxahatchee","",https://link.seated.com/a4ab1662-b10c-4cd0-ad08-c484c75f5319
2025-04-27,"Charleston, SC",Waxahatchee,High Water Festival,"High Water Festival","",https://link.seated.com/168d7996-52fc-4ce9-9333-779f18afd3ae
2025-04-29,"Miami Beach, FL",Waxahatchee,The Fillmore Miami Beach,"Wilco, Waxahatchee","",https://link.seated.com/28c4a54f-0379-457b-ba83-5e9c7827a056
2025-04-30,"St. Augustine, FL",Waxahatchee,The St. Augustine Amphitheatre,"Wilco, Waxahatchee","",https://link.seated.com/62acbc55-99b5-4a01-8477-556c6edd09ae
2025-05-03,"New Orleans, LA",Waxahatchee,Saenger Theatre,"Wilco, Waxahatchee","",https://link.seated.com/c3a26b22-cc47-4d80-8106-4f401643b60b
2025-05-04,"Houston, TX",Waxahatchee,White Oak Music Hall (Lawn),"Wilco, Waxahatchee","",https://link.seated.com/40c8c469-04b0-4d73-b5f6-0de4a5bf9f62
2025-05-06,"San Antonio, TX",Waxahatchee,The Espee,"Wilco, Waxahatchee","",https://link.seated.com/25fe0147-6979-4d63-aa06-04a5488110dc
2025-05-07,"Irving, TX",Waxahatchee,The Pavilion at Toyota Music Factory,"Wilco, Waxahatchee","",https://link.seated.com/edd3d2fb-6e92-4602-854d-7cc3c9f3e466
2025-05-09,"Nashville, TN",Waxahatchee,The Pinnacle,"Wilco, Waxahatchee","",https://link.seated.com/d24a5f22-acb1-4ab0-b6ec-ed1ed3f1bfab
2025-05-10,"Atlanta, GA",Waxahatchee,Cadence Bank Amphitheatre at Chastain Park,"Wilco, Waxahatchee","",https://link.seated.com/a41d81bc-47f5-4bff-9528-aeead3578a14
2025-05-11,"Chattanooga, TN",Waxahatchee,Soldiers and Sailors Memorial Auditorium,"Wilco, Waxahatchee","",https://link.seated.com/26347d80-8579-4a13-8af9-4ebeaf93e94a
2025-05-12,"Birmingham, AL",Waxahatchee,Avondale Brewing Company,"Wilco, Waxahatchee","",https://link.seated.com/50f55575-79c8-48a8-b345-a6c87449a9ed
2025-05-13,"Wilmington, NC",Waxahatchee,Live Oak Bank Pavilion,"Wilco, Waxahatchee","",https://link.seated.com/2a5dd6a7-9fcb-4e70-8745-758f9490d628
2025-05-14,"Durham, NC",Waxahatchee,Durham Performing Arts Center,"Waxahatchee, Cameron Winter","",https://link.seated.com/cfd95667-a8cc-44ab-91c7-f2ba2cce1af1
2025-05-15,"Charlotte, NC",Waxahatchee,The Amp Ballantyne,"Wilco, Waxahatchee","",https://link.seated.com/01c2f4f1-b48c-4150-93e7-1dc39eac0bf3
2025-05-16,"Asheville, NC",Waxahatchee,Asheville Yards Amphitheater,"Wilco, Waxahatchee","",https://link.seated.com/6d047934-bb00-4da5-89ea-60fe1f85c24f
2025-06-01,"Denver, CO",Waxahatchee,Outside Festival,"Outside Festival","",https://link.seated.com/27b52c37-d75f-4188-bd70-a8e8bc578a13
2025-06-06,"Barcelona, Spain",Waxahatchee,Primavera Sound,"Primavera Sound","",https://link.seated.com/b924a8d7-2adc-4aca-b4ea-4786a43640fb
2025-06-08,"Glasgow, Scotland",Waxahatchee,Barrowland Ballroom,"","",https://link.seated.com/dd4f4cf6-9758-4719-9a22-291cd748f320
2025-06-09,"Manchester, UK",Waxahatchee,Albert Hall,"","",https://link.seated.com/79ddf447-f61b-4a55-bac2-7610352c03a5
2025-06-10,"Bristol, UK",Waxahatchee,SWX,"","",https://link.seated.com/a35ec586-259a-4d33-a400-b0922dcd8a6d
2025-06-11,"London, UK",Waxahatchee,Hammersmith Apollo,"","",https://link.seated.com/0509024a-e14e-4424-b85c-91cf7c02c421
2025-06-13,"Porto, Portugal",Waxahatchee,Primavera Porto,"Primavera Porto","",https://link.seated.com/018f3cbd-1c45-4b2c-afd4-3c05751ff661
2025-06-15,"Hilvarenbeek, Netherlands",Waxahatchee,Best Kept Secret Festival,"Best Kept Secret Festival","",https://link.seated.com/61f5d0ee-7126-4aba-8abe-008b4a2ec486
2025-06-20,"Greenfield, MA",Waxahatchee,Green River Festival,"Green River Festival","",https://link.seated.com/2d18cddf-e2ca-4e05-92e9-2a0893af7aac
2025-06-21,"Lafayette, NY",Waxahatchee,Beak & Skiff Apple Orchards,"Waxahatchee, MJ Lenderman, Hurray For The Riff Raff","",https://link.seated.com/d5811faf-e28b-4cd3-8d58-1d4d25406e37
2025-06-22,"Greenfield, MA",Waxahatchee,Green River Festival,"Green River Festival","",https://link.seated.com/2d18cddf-e2ca-4e05-92e9-2a0893af7aac
2025-06-23,"Shelburne, VT",Waxahatchee,The Green at Shelburne Museum,"Waxahatchee, Kevin Morby","",https://link.seated.com/b70601c5-5710-4b77-b131-e62a5a1564cc
2025-07-26,"Newport, RI",Waxahatchee,Newport Folk Festival,"Newport Folk Festival","",https://link.seated.com/3f231569-c994-4fca-90db-0d5e378cb958
2025-07-29,"Columbia, MD",Waxahatchee,Merriweather Post Pavilion,"Lord Huron, Waxahatchee","",https://link.seated.com/a8952174-7e0a-403b-b64e-4cdf1d601e5a
2025-07-30,"New York, NY",Waxahatchee,Madison Square Garden,"Lord Huron, Waxahatchee","",https://link.seated.com/4359d8ff-b3dc-4a41-a282-b06bbaefee93
2025-08-08,"Jacksonville, OR",Waxahatchee,Britt Festival Pavilion,"Waxahatchee, Foxwarren","",https://link.seated.com/919d4b86-88c7-4e37-bc95-4d6d5bce553a
2025-08-09,"Portland, OR",Waxahatchee,Pioneer Courthouse Square,"Waxahatchee, Foxwarren","",https://link.seated.com/fa403b4e-09e7-48d1-b1a5-b6d0ba856928
2025-08-10,"Seattle, WA",Waxahatchee,Woodland Park Zoo,"Waxahatchee, Foxwarren","",https://link.seated.com/3f680a56-cfb6-4586-aaa4-4ffdb0e24619
2025-09-05,"Bangor, ME",Waxahatchee,Maine Savings Amphitheater,"Willie Nelson, Bob Dylan, Sheryl Crow, Waxahatchee, and Madeline Edwards","",https://link.seated.com/a929b99c-b668-4cf0-818b-112103c0f57a
2025-09-06,"Hartford, CT",Waxahatchee,Xfinity Theatre,"Willie Nelson, Bob Dylan, Sheryl Crow, Waxahatchee, and Madeline Edwards","",https://link.seated.com/deb5c055-43f7-4fbc-98da-7ea8db28f615
2025-09-07,"Mansfield, MA",Waxahatchee,Xfinity Center,"Willie Nelson, Bob Dylan, Sheryl Crow, Waxahatchee, and Madeline Edwards","",https://link.seated.com/011f8954-4fd5-4301-8bd8-d84f695a6596
2025-09-11,"Louisville, KY",Waxahatchee,Bourbon & Beyond Festival,"Bourbon & Beyond Festival","",https://link.seated.com/4b09d5f4-cc91-4c26-a410-604dd17eab6f
2025-09-12,"Camden, NJ",Waxahatchee,Freedom Mortgage Pavilion,"Willie Nelson, Bob Dylan, Sheryl Crow, Waxahatchee, and Madeline Edwards","",https://link.seated.com/5ff388ff-49ff-4d09-b8a6-83797527ed94
2025-09-13,"Holmdel, NJ",Waxahatchee,PNC Bank Arts Center,"Willie Nelson, Bob Dylan, Sheryl Crow, Waxahatchee, and Madeline Edwards","",https://link.seated.com/c03890b5-df09-44b8-8171-541fc5f027ee
2025-09-19,"East Troy, WI",Waxahatchee,Alpine Valley Music Theatre,"Willie Nelson, Bob Dylan, Sheryl Crow, Waxahatchee, and Madeline Edwards","",https://link.seated.com/0f02858e-533b-403c-9022-b594bb107d1f
